county_fips,county_name,exposure_2017,exposure_2023,exposure_change_abs,exposure_change_pct
22017,"Caddo Parish, Louisiana",187411970.58576143,336448973.1945646,149037002.60880315,0.7952373700729136
37183,"Wake County, North Carolina",403981850.98396003,552241447.8724697,148259596.88850963,0.36699568687900347
42003,"Allegheny County, Pennsylvania",926899233.6715449,1074244560.9284053,147345327.25686038,0.15896585292579227
33015,"Rockingham County, New Hampshire",407797178.6887449,555095960.419799,147298781.73105407,0.3612059853005537
51700,"Newport News city, Virginia",709397682.9603449,854339813.1647048,144942130.2043599,0.20431717453531928
42079,"Luzerne County, Pennsylvania",464699658.4016056,609564135.7797381,144864477.37813246,0.31173786069998954
42095,"Northampton County, Pennsylvania",300773986.16736317,445593680.30960965,144819694.14224648,0.4814900915721574
25021,"Norfolk County, Massachusetts",450806811.6114101,594490948.5259411,143684136.91453105,0.3187266323703756
20091,"Johnson County, Kansas",599761562.5198617,742451656.3135865,142690093.79372478,0.23791136796799886
16001,"Ada County, Idaho",366398210.4473072,508762665.95476395,142364455.50745672,0.38855117587407145
18097,"Marion County, Indiana",1158648337.695815,1300487705.3267272,141839367.63091207,0.1224179615300581
39113,"Montgomery County, Ohio",783899772.2606553,925187588.356098,141287816.09544277,0.18023709292323026
31109,"Lancaster County, Nebraska",317926661.6826124,458582443.28101647,140655781.59840405,0.44241581015568093
38089,"Stark County, North Dakota",61929638.928165376,201685190.5614018,139755551.63323644,2.2566828105577104
13121,"Fulton County, Georgia",524001332.19418347,662307889.7074667,138306557.51328325,0.26394314101100386
36067,"Onondaga County, New York",450100199.6356216,586798595.9744797,136698396.33885807,0.30370658899845454
26077,"Kalamazoo County, Michigan",454849528.00107354,591274037.5610733,136424509.55999976,0.2999332771862913
48355,"Nueces County, Texas",255786224.6738617,391738491.3468494,135952266.67298767,0.531507382175614
06039,"Madera County, California",424292002.726474,559958613.5662824,135666610.8398084,0.3197482157759826
10003,"New Castle County, Delaware",326977489.8936104,462506926.19539815,135529436.30178773,0.41449164083400764
12105,"Polk County, Florida",499702377.69765997,634701044.7055626,134998667.00790262,0.27015814419354683
17089,"Kane County, Illinois",844439508.269634,978424354.077728,133984845.80809402,0.15866719225708226
34003,"Bergen County, New Jersey",772030323.2885995,905592785.2550228,133562461.96642327,0.17300157511623426
45015,"Berkeley County, South Carolina",143227961.87204495,276062487.1369816,132834525.26493666,0.92743430492718
48497,"Wise County, Texas",116608763.55694832,249311290.0064597,132702526.4495114,1.1380150376494074
12011,"Broward County, Florida",653603800.2365663,784845978.7021039,131242178.46553755,0.2007977591593494
13313,"Whitfield County, Georgia",452761533.04089445,583765338.1651838,131003805.12428933,0.289343938396058
47149,"Rutherford County, Tennessee",499566179.7780721,628890322.4243784,129324142.64630628,0.2588728938851653
32013,"Humboldt County, Nevada",43822411.584002085,172917798.7866341,129095387.20263201,2.945875923673719
27163,"Washington County, Minnesota",234282809.6696001,363213057.8312789,128930248.16167882,0.5503188575529896
17113,"McLean County, Illinois",96574576.49990666,225095504.99269822,128520928.49279156,1.3307946371674306
17197,"Will County, Illinois",499663463.689228,627721284.5880721,128057820.89884406,0.2562881423295165
08013,"Boulder County, Colorado",383110138.61160314,510840557.5286451,127730418.91704196,0.33340391194015095
47093,"Knox County, Tennessee",289575367.3186396,416821047.6154945,127245680.29685491,0.4394216313186535
56037,"Sweetwater County, Wyoming",115495296.05806842,241696959.92418584,126201663.86611742,1.0926996005332206
39165,"Warren County, Ohio",300106306.7116651,425847559.7145803,125741253.0029152,0.4189890388532367
01121,"Talladega County, Alabama",240317295.8613335,365746576.10203105,125429280.24069756,0.5219319724414344
49057,"Weber County, Utah",342017592.4735345,466957069.5438055,124939477.07027096,0.36530131729974924
12031,"Duval County, Florida",609958614.2910701,734454923.8048779,124496309.51380777,0.20410615834732448
06067,"Sacramento County, California",549103901.6704655,673029658.7525386,123925757.08207309,0.22568726374930193
54051,"Marshall County, West Virginia",49445806.21079709,172984626.7509655,123538820.54016842,2.4984691323162656
48203,"Harrison County, Texas",166300146.073966,289533806.90944797,123233660.83548197,0.7410315850274168
13015,"Bartow County, Georgia",221906716.71221328,343899803.7516464,121993087.03943312,0.5497494120362463
48367,"Parker County, Texas",100416756.72409104,220847575.19326785,120430818.46917681,1.1993099797086375
42017,"Bucks County, Pennsylvania",686762005.1105419,806936179.6199878,120174174.5094459,0.17498663818785745
55101,"Racine County, Wisconsin",399520160.4164906,519636860.79766136,120116700.38117075,0.3006524132748441
12071,"Lee County, Florida",148608950.5627638,268295500.7218532,119686550.15908939,0.8053791491417653
18157,"Tippecanoe County, Indiana",431594304.6589696,550405515.0537274,118811210.3947578,0.2752844722745778
38017,"Cass County, North Dakota",228967709.07348832,347761584.4061809,118793875.3326926,0.5188237058115698
48219,"Hockley County, Texas",48401982.42327441,166575767.279588,118173784.8563136,2.4415071230530625
42059,"Greene County, Pennsylvania",59938701.670233056,178009632.97876933,118070931.30853628,1.9698613419778666
08059,"Jefferson County, Colorado",248727841.2032987,365741762.7761121,117013921.57281339,0.47044963284657626
54005,"Boone County, West Virginia",26699384.818610713,142698989.3262479,115999604.50763719,4.344654578961687
19113,"Linn County, Iowa",431341688.2178596,546334943.3317648,114993255.11390519,0.2665943456312181
22015,"Bossier Parish, Louisiana",77261018.04229936,192238001.91772658,114976983.87542722,1.488162941529956
56025,"Natrona County, Wyoming",75658888.85591085,190262536.1606762,114603647.30476536,1.5147413481451353
37071,"Gaston County, North Carolina",343674336.6826438,458266910.6536305,114592573.97098672,0.3334336077494316
19193,"Woodbury County, Iowa",131837836.27453728,246244131.76832235,114406295.49378507,0.8677804394145774
45063,"Lexington County, South Carolina",258801286.33170673,373035087.8733541,114233801.54164734,0.4413958027829637
04027,"Yuma County, Arizona",170623701.7401111,284821039.748426,114197338.00831491,0.6692935204410044
55055,"Jefferson County, Wisconsin",202150465.76077494,316249514.2490395,114099048.48826453,0.5644263447965016
21227,"Warren County, Kentucky",266906337.09579816,380075099.8193325,113168762.72353432,0.42400178262877186
20175,"Seward County, Kansas",5952848.138520899,116467498.51876315,110514650.38024226,18.56500414735958
55073,"Marathon County, Wisconsin",471984293.74100757,581265669.8815947,109281376.14058709,0.23153604386791984
