county_fips,Time,naics2c,county_export_usd,emp_share,EMP_num,total_emp,tariff_rate_mean,tariff_rate_median,tariff_rate_p90,n_tariff_lines,matched_emp,matched_tariff,matched_all,exposure_component_mean,exposure_component_p90
12057,2023,93,826274336,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
12057,2023,99,240132648,6.449865197817366e-5,45,697689,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
12057,2024,11,133582336,9.889793303319961e-5,69,697689,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,3419.780954722928,5284.406768058548
12057,2024,21,49433756,4.873231482795343e-5,34,697689,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,492.93290338905825,662.4808741430637
12057,2024,31-33,40873858380,0.04046645425110615,28233,697689,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,381152242.3625435,578907042.0701616
12057,2024,91,2335995132,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
12057,2024,93,569455792,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
12057,2024,99,72323236,6.449865197817366e-5,45,697689,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
12057,2025 through June,11,64453008,9.889793303319961e-5,69,697689,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,1650.0323009249107,2549.707707588912
12057,2025 through June,21,38977612,4.873231482795343e-5,34,697689,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,388.6685739665867,522.3540462870993
12057,2025 through June,31-33,20145530436,0.04046645425110615,28233,697689,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,187858802.75549042,285326365.01343113
12057,2025 through June,91,1003647460,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
12057,2025 through June,93,359727944,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
12057,2025 through June,99,47077108,6.449865197817366e-5,45,697689,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
12086,2023,11,3958616468,2.2549837034791176e-4,238,1055440,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,231072.82569130402,357064.6249465626
12086,2023,21,253891244,6.329113924050633e-4,668,1055440,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,32880.453139102916,44189.931708860764
12086,2023,31-33,277539971128,0.03556715682558933,37539,1055440,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,2274743221.531615,3454957687.4676886
12086,2023,91,1846047684,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
12086,2023,93,5352745552,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
12086,2023,99,4113480404,1.4306829379216252e-4,151,1055440,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
12086,2024,11,4045548700,2.2549837034791176e-4,238,1055440,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,236147.24415398494,364905.8556052452
12086,2024,21,332279392,6.329113924050633e-4,668,1055440,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,43032.19286186021,57833.43848101266
12086,2024,31-33,294889036336,0.03556715682558933,37539,1055440,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,2416937761.371814,3670927610.5282974
12086,2024,91,2123214408,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
12086,2024,93,6072462196,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
12086,2024,99,4351623788,1.4306829379216252e-4,151,1055440,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
12086,2025 through June,11,2022045184,2.2549837034791176e-4,238,1055440,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,118031.05911354804,182387.15750473738
