county_fips,Time,naics2c,county_export_usd
38067,2024,11,4023836164
38067,2024,21,1552939180
38067,2024,31-33,134517449104
38067,2024,91,269996000
38067,2024,93,539735220
38067,2024,98,19477536
38067,2024,99,665991576
38067,2025 through June,11,1657679508
38067,2025 through June,21,1245786712
38067,2025 through June,31-33,65065978816
38067,2025 through June,91,145890584
38067,2025 through June,93,240074204
38067,2025 through June,98,7314136
38067,2025 through June,99,51354136
39035,2023,11,755333956
39035,2023,21,781530772
39035,2023,31-33,235241345360
39035,2023,91,1065178772
39035,2023,93,731691468
39035,2023,98,5689128
39035,2023,99,3972003288
39035,2024,11,1062161880
39035,2024,21,337178296
39035,2024,31-33,243489547752
39035,2024,91,193066812
39035,2024,93,732016676
39035,2024,98,6332112
39035,2024,99,5185606708
39035,2025 through June,11,252391972
39035,2025 through June,21,101448104
39035,2025 through June,31-33,128342674728
39035,2025 through June,91,115287328
39035,2025 through June,93,369384956
39035,2025 through June,98,3233680
39035,2025 through June,99,3003668424
41007,2023,11,12050257705.333334
41007,2023,21,564841656
41007,2023,31-33,8158282513.333333
41007,2023,91,646828362.6666666
41007,2023,93,17538293.333333332
41007,2023,99,2206106.6666666665
41007,2024,11,12089144352
41007,2024,21,823551630.6666666
41007,2024,31-33,8688821684
41007,2024,91,528528240
41007,2024,93,1734166.6666666667
41007,2024,99,4762545.333333333
41007,2025 through June,11,5518900001.333333
41007,2025 through June,21,424691089.3333333
41007,2025 through June,31-33,4654700465.333333
41007,2025 through June,91,208319877.33333334
41007,2025 through June,93,151610.66666666666
41007,2025 through June,99,583624
41009,2023,11,12050257705.333334
41009,2023,21,564841656
41009,2023,31-33,8158282513.333333
41009,2023,91,646828362.6666666
41009,2023,93,17538293.333333332
41009,2023,99,2206106.6666666665
41009,2024,11,12089144352
41009,2024,21,823551630.6666666
41009,2024,31-33,8688821684
41009,2024,91,528528240
41009,2024,93,1734166.6666666667
41009,2024,99,4762545.333333333
41009,2025 through June,11,5518900001.333333
41009,2025 through June,21,424691089.3333333
41009,2025 through June,31-33,4654700465.333333
41009,2025 through June,91,208319877.33333334
41009,2025 through June,93,151610.66666666666
41009,2025 through June,99,583624
41051,2023,11,12050257705.333334
41051,2023,21,564841656
41051,2023,31-33,8158282513.333333
41051,2023,91,646828362.6666666
41051,2023,93,17538293.333333332
41051,2023,99,2206106.6666666665
41051,2024,11,12089144352
41051,2024,21,823551630.6666666
41051,2024,31-33,8688821684
41051,2024,91,528528240
41051,2024,93,1734166.6666666667
41051,2024,99,4762545.333333333
41051,2025 through June,11,5518900001.333333
41051,2025 through June,21,424691089.3333333
41051,2025 through June,31-33,4654700465.333333
41051,2025 through June,91,208319877.33333334
41051,2025 through June,93,151610.66666666666
41051,2025 through June,99,583624
42101,2023,11,468367784
42101,2023,21,11894532592
42101,2023,31-33,68266597752
42101,2023,91,1724940364
42101,2023,93,954411944
42101,2023,99,399513908
42101,2024,11,911927424
42101,2024,21,13861544632
42101,2024,31-33,69441764336
42101,2024,91,1544298228
42101,2024,93,919280116
42101,2024,99,427118364
42101,2025 through June,11,214804024
42101,2025 through June,21,7593823444
42101,2025 through June,31-33,39317914452
42101,2025 through June,91,499144728
42101,2025 through June,93,579183716
42101,2025 through June,99,272841172
44007,2023,31-33,307372096
44007,2023,91,837697604
44007,2023,93,303576008
44007,2024,31-33,530278388
44007,2024,91,904614496
44007,2024,93,448562932
44007,2025 through June,11,224000
44007,2025 through June,31-33,243874000
44007,2025 through June,91,354379748
44007,2025 through June,93,282446472
45019,2023,11,1315275796
45019,2023,21,12629649812
45019,2023,31-33,132059934260
45019,2023,91,1947412736
45019,2023,93,179763948
45019,2023,99,119861244
45019,2024,11,1119854408
45019,2024,21,12307146768
45019,2024,31-33,119456818792
45019,2024,91,2089191700
45019,2024,93,108336128
45019,2024,99,186697484
45019,2025 through June,11,654781516
45019,2025 through June,21,4121348594.6666665
45019,2025 through June,31-33,58741711700
45019,2025 through June,91,902078320
45019,2025 through June,93,113062992
45019,2025 through June,99,73716832
48113,2023,11,42736268
48113,2023,21,1581518
48113,2023,31-33,58034542340
48113,2023,91,35970074
48113,2023,93,137723190
48113,2023,99,619898708
48113,2024,11,78429676
48113,2024,21,1526338
48113,2024,31-33,60582811816
48113,2024,91,51368706
48113,2024,93,168341118
48113,2024,99,825681216
48113,2025 through June,11,34407804
48113,2025 through June,21,1286110
48113,2025 through June,31-33,36464692574
48113,2025 through June,91,71541688
48113,2025 through June,93,94803566
48113,2025 through June,99,342191578
48141,2023,11,8316523764
48141,2023,21,5992542360
48141,2023,31-33,188235047072
48141,2023,91,719243876
48141,2023,93,1176466936
48141,2023,99,31712648
48141,2024,11,6908529704
48141,2024,21,2633541576
48141,2024,31-33,224556980772
48141,2024,91,759036832
48141,2024,93,1271668276
48141,2024,99,26027580
48141,2025 through June,11,2519255084
48141,2025 through June,21,2738608532
48141,2025 through June,31-33,120282474704
48141,2025 through June,91,403337396
48141,2025 through June,93,794684124
48141,2025 through June,99,11393204
48167,2023,11,6370842076
48167,2023,21,245591452012
48167,2023,31-33,222820594202
48167,2023,91,1650989718
48167,2023,93,2891557836
48167,2023,98,30292
48167,2023,99,538519434
48167,2024,11,6721145084
48167,2024,21,259203745138
48167,2024,31-33,227758520114
48167,2024,91,1998483218
48167,2024,93,3278555018
48167,2024,99,699630050
48167,2025 through June,11,3329255238
48167,2025 through June,21,124317527398
48167,2025 through June,31-33,115142968218
48167,2025 through June,91,932795290
48167,2025 through June,93,1864850076
48167,2025 through June,99,300510420
48201,2023,11,6370842076
48201,2023,21,245591452012
48201,2023,31-33,222820594202
48201,2023,91,1650989718
48201,2023,93,2891557836
48201,2023,98,30292
48201,2023,99,538519434
48201,2024,11,6721145084
48201,2024,21,259203745138
48201,2024,31-33,227758520114
48201,2024,91,1998483218
48201,2024,93,3278555018
48201,2024,99,699630050
48201,2025 through June,11,3329255238
48201,2025 through June,21,124317527398
48201,2025 through June,31-33,115142968218
48201,2025 through June,91,932795290
48201,2025 through June,93,1864850076
48201,2025 through June,99,300510420
48245,2023,21,89844009576
48245,2023,31-33,84857647556
48245,2024,21,77314169292
48245,2024,31-33,78805000496
48245,2024,93,6241936
48245,2024,99,26600
48245,2025 through June,21,41086148964
48245,2025 through June,31-33,33466301776
48245,2025 through June,99,4552604
48439,2023,11,42736268
48439,2023,21,1581518
48439,2023,31-33,58034542340
48439,2023,91,35970074
48439,2023,93,137723190
48439,2023,99,619898708
48439,2024,11,78429676
48439,2024,21,1526338
48439,2024,31-33,60582811816
48439,2024,91,51368706
48439,2024,93,168341118
48439,2024,99,825681216
48439,2025 through June,11,34407804
48439,2025 through June,21,1286110
48439,2025 through June,31-33,36464692574
48439,2025 through June,91,71541688
48439,2025 through June,93,94803566
48439,2025 through June,99,342191578
48479,2023,11,23029372668
48479,2023,21,17816993520
48479,2023,31-33,619500271396
48479,2023,91,4846946188
48479,2023,93,4200300392
48479,2023,99,828284056
48479,2024,11,22983371984
48479,2024,21,15959401520
48479,2024,31-33,640787887412
48479,2024,91,4986744828
48479,2024,93,4540716880
48479,2024,99,879286040
48479,2025 through June,11,11611359984
48479,2025 through June,21,11634001136
48479,2025 through June,31-33,317515782940
48479,2025 through June,91,2048735472
48479,2025 through June,93,2293869272
48479,2025 through June,99,337813800
50011,2023,11,174850052
50011,2023,21,57868664
50011,2023,31-33,8106928944
50011,2023,91,328273284
50011,2023,93,28766240
50011,2023,98,5393760
50011,2023,99,21657548
50011,2024,11,209313792
50011,2024,21,60564260
50011,2024,31-33,8368129676
50011,2024,91,353935764
50011,2024,93,33102780
50011,2024,98,6113428
50011,2024,99,4226844
50011,2025 through June,11,98547212
50011,2025 through June,21,16731868
50011,2025 through June,31-33,3812589300
50011,2025 through June,91,142938104
50011,2025 through June,93,18570172
50011,2025 through June,98,734640
50011,2025 through June,99,429536
51710,2023,11,13958220668
51710,2023,21,12863528216
51710,2023,31-33,132851153172
51710,2023,91,5710762180
51710,2023,93,239223560
51710,2023,99,555016676
51710,2024,11,11961340432
51710,2024,21,12727986596
51710,2024,31-33,137044201784
51710,2024,91,7870952424
51710,2024,93,238530144
51710,2024,99,438975556
51710,2025 through June,11,5410754704
51710,2025 through June,21,4366475070.666666
51710,2025 through June,31-33,62403816140
51710,2025 through June,91,2887081592
51710,2025 through June,93,131046588
51710,2025 through June,99,120301356
53033,2023,11,28493028912
