county_fips,naics2c,EMP_num,ESTAB,PAYANN,total_emp,emp_share
01049,81,465,122,13436,20004,0.023245350929814036
01051,11,63,9,4347,15513,0.004061110036743376
01051,21,47,5,2948,15513,0.0030297170115387096
01051,22,131,12,10342,15513,0.008444530393863212
01051,23,1042,163,53897,15513,0.06716947076645394
01051,31-33,2898,50,174967,15513,0.18681106169019532
01051,42,320,38,16526,15513,0.02062786050409334
01051,44-45,2782,222,87264,15513,0.1793334622574615
01051,48-49,280,35,9461,15513,0.018049377941081673
01051,51,55,19,3925,15513,0.003545413524141043
01051,52,367,82,20308,15513,0.02365757751563205
01051,53,206,59,11311,15513,0.013279185199510088
01051,54,373,100,19441,15513,0.024044349900083802
01051,56,290,62,13803,15513,0.01869399858183459
01051,61,259,8,8613,15513,0.01669567459550055
01051,62,2252,116,87605,15513,0.1451685682975569
01051,71,89,16,2237,15513,0.00573712370270096
01051,72,3131,135,77055,15513,0.20183072261973828
01051,81,924,172,28023,15513,0.059562947205569525
01053,11,192,17,11623,9975,0.01924812030075188
01053,21,189,4,13585,9975,0.018947368421052633
01053,22,84,5,6175,9975,0.008421052631578947
01053,23,647,65,47108,9975,0.06486215538847118
01053,31-33,1740,41,114909,9975,0.17443609022556392
01053,42,150,25,9779,9975,0.015037593984962405
01053,44-45,1763,163,53623,9975,0.17674185463659148
01053,48-49,558,21,24988,9975,0.05593984962406015
01053,51,126,18,4956,9975,0.01263157894736842
01053,52,308,69,17817,9975,0.030877192982456142
01053,53,73,29,2341,9975,0.0073182957393483706
01053,54,249,41,10171,9975,0.024962406015037596
01053,55,49,4,4249,9975,0.004912280701754386
01053,56,231,24,9840,9975,0.023157894736842106
01053,62,1316,65,56447,9975,0.1319298245614035
01053,71,76,3,912,9975,0.007619047619047619
01053,72,1813,68,49075,9975,0.18175438596491228
01053,81,383,90,9529,9975,0.038395989974937345
01055,11,9,4,326,28155,3.1965903036760787e-4
01055,22,156,9,13682,28155,0.00554075652637187
01055,23,985,137,58330,28155,0.03498490499023264
01055,31-33,4037,86,181214,28155,0.14338483395489257
01055,42,1151,74,66000,28155,0.040880838217012966
01055,44-45,4843,379,152322,28155,0.17201207600781387
01055,48-49,847,51,51122,28155,0.030083466524595988
01055,51,195,28,10934,28155,0.006925945657964837
01055,52,990,141,61650,28155,0.03516249334043687
01055,53,237,61,9937,28155,0.008417687799680341
01055,54,678,128,35154,28155,0.024080980287693128
01055,55,51,8,5954,28155,0.0018114011720831112
01055,56,1356,87,56959,28155,0.048161960575386256
01055,61,233,11,5416,28155,0.00827561711951696
01055,62,6736,299,360399,28155,0.23924702539513407
01055,71,337,18,5594,28155,0.011969454803764873
01055,72,3819,196,67474,28155,0.13564198188598828
01055,81,1478,235,38970,28155,0.052495116320369385
01057,11,85,13,2768,3269,0.026001835423676966
01057,21,29,5,1992,3269,0.008871214438666258
01057,23,110,22,2335,3269,0.0336494340776996
01057,31-33,1002,18,50912,3269,0.3065157540532273
01057,42,22,5,1979,3269,0.00672988681553992
01057,44-45,530,55,15227,3269,0.1621290914652799
01057,48-49,32,15,1877,3269,0.009788926277148976
01057,51,22,6,1139,3269,0.00672988681553992
01057,52,56,15,3537,3269,0.017130620985010708
01057,53,13,5,537,3269,0.0039767513000917715
01057,54,73,19,6088,3269,0.0223309880697461
01057,62,641,39,28011,3269,0.1960844294891404
01057,71,3,3,84,3269,9.177118384827164e-4
01057,72,372,26,5184,3269,0.11379626797185684
01057,81,210,27,9351,3269,0.06423982869379015
01059,11,61,13,3194,11039,0.005525862849895824
